"FinancialYear","HBR","HBRQF","NumberOfStays","EASRStays"
"2004/05","S08000026","",12,54.2851395080734
"2005/06","S08000026","",27,116.89489491152
"2006/07","S08000026","",18,86.5621362750539
"2007/08","S08000026","",30,143.755131363266
"2008/09","S08000026","",45,200.117111993969
"2009/10","S08000026","",33,149.478800513132
"2010/11","S08000026","",36,160.480962591692
"2011/12","S08000026","",21,89.3999481974454
"2012/13","S08000026","",18,76.2885426290936
"2013/14","S08000026","",27,116.60317883472
"2014/15","S08000026","",21,91.3848706380911
"2015/16","S08000026","",27,116.836785225549
"2016/17","S08000026","",27,118.024454895964
"2017/18","S08000026","",18,80.9775581000809
"2018/19","S08000026","",30,141.488588924455
"2019/20","S08000026","",27,125.144697672209
"2020/21","S08000026","",33,163.729333633115
"2021/22","S08000026","",30,137.789141896749
"2022/23","S08000026","",24,116.263373657775
"2023/24","S08000026","",30,134.983625548581
"1996/97","S08000030","",159,36.1958210207333
"1997/98","S08000030","",198,46.7224824229656
"1998/99","S08000030","",168,40.9135588203069
"1999/00","S08000030","",189,46.1169459264071
"2000/01","S08000030","",198,50.2314219062536
"2001/02","S08000030","",171,43.5929701433947
"2002/03","S08000030","",246,64.0269478250427
"2003/04","S08000030","",210,55.3254252754123
"2004/05","S08000030","",192,50.4125347326954
"2005/06","S08000030","",210,55.1066738236755
"2006/07","S08000030","",258,67.4671318014342
"2007/08","S08000030","",318,82.8056275454905
"2008/09","S08000030","",438,112.261302165151
"2009/10","S08000030","",498,126.329774039885
"2010/11","S08000030","",561,145.219948434479
"2011/12","S08000030","",570,146.371598783896
"2012/13","S08000030","",522,134.497306982454
"2013/14","S08000030","",612,159.854873894537
"2014/15","S08000030","",624,162.496386841363
"2015/16","S08000030","",594,154.465411968728
"2016/17","S08000030","",597,157.436079989146
"2017/18","S08000030","",747,197.068653371534
"2018/19","S08000030","",978,262.04413071888
"2019/20","S08000030","",1113,295.313428574418
"2020/21","S08000030","",1023,273.348955906097
"2021/22","S08000030","",1032,279.362169536
"2022/23","S08000030","",840,225.57475422386
"2023/24","S08000030","",942,247.431403228168
"1996/97","S08000028","",3,11.2713675213675
"1997/98","S08000028","",0,0
"1998/99","S08000028","",3,14.5857995697611
"1999/00","S08000028","",9,34.6776003531817
"2000/01","S08000028","",6,22.0609893404582
"2001/02","S08000028","",6,28.1915189436958
"2002/03","S08000028","",9,40.8293085556714
"2003/04","S08000028","",12,58.4447626923715
"2004/05","S08000028","",15,58.9932945988285
"2005/06","S08000028","",12,43.9653794423321
"2006/07","S08000028","",12,42.1447920879358
"2007/08","S08000028","",9,44.1662651913478
"2008/09","S08000028","",6,28.2931774368578
"2009/10","S08000028","",6,25.7877754716393
"2010/11","S08000028","",9,32.7919200513566
"2011/12","S08000028","",12,50.7274342815089
"2012/13","S08000028","",9,44.171344862402
"2013/14","S08000028","",12,52.2201674041683
"2014/15","S08000028","",15,62.0090819022487
"2015/16","S08000028","",9,35.8898803056297
"2016/17","S08000028","",9,34.8850775102957
"2017/18","S08000028","",6,26.9999757541102
"2018/19","S08000028","",18,74.3998450241712
"2019/20","S08000028","",21,92.9686286661984
"2020/21","S08000028","",30,156.054672469368
"2021/22","S08000028","",27,116.964856262725
"2022/23","S08000028","",24,135.050501921743
"2023/24","S08000028","",24,123.578279860983
